description_barang,description,amount,recency_days,frequency,score_price,score_recency,score_freq,final_score
STOPPER SHOCK DPN CARRY,76 MOTOR,40000,162,1,2.50E-05,0.006134969,0.111111111,0.024075213
SUPPORT SHOCK AVANZA,METRO MOTOR,350000,35,1,2.86E-06,0.027777778,0.111111111,0.030556984
SWITCH MUNDUR COLT120 SS,76 MOTOR,60000,59,1,1.67E-05,0.016666667,0.111111111,0.027230556
SWITCH MUNDUR GRANDMAX,METRO MOTOR,350000,108,1,2.86E-06,0.009174312,0.111111111,0.024975944
SWITCH MUNDUR PS,PT. EMPATI SUKSES BERKARYA,65000,116,1,1.54E-05,0.008547009,0.111111111,0.024794017
SWITCH OLI L300,76 MOTOR,55000,100,1,1.82E-05,0.00990099,0.111111111,0.02520161
SWITCH REM L300,JAYA MUNCUL MOBIL,110000,83,1,9.09E-06,0.011904762,0.111111111,0.025798196
SWITCH REM TRAGA,JAYA ABADI MOTOR,50000,67,4,2.00E-05,0.014705882,0.444444444,0.093310654
SWITCH TEMPERATUR L300,METRO MOTOR,75000,3,1,1.33E-05,0.25,0.111111111,0.097228889
SWITCH TEMPRATUR CARRY/APV,76 MOTOR,150000,159,1,6.67E-06,0.00625,0.111111111,0.024100556
SWITCH TEMPRATURE TRITON,76 MOTOR,150000,161,1,6.67E-06,0.00617284,0.111111111,0.024077407
TABUNG P/STERING L300,JAYA ABADI MOTOR,125000,136,1,8.00E-06,0.00729927,0.111111111,0.024416003
TANGKAI WIPER BLKG XENIA,JAYA ABADI MOTOR,95000,88,1,1.05E-05,0.011235955,0.111111111,0.025598272
TANGKAI WIPER DPN AVANZA,PT. EMPATI SUKSES BERKARYA,150000,78,1,6.67E-06,0.012658228,0.111111111,0.026023024
TANGKAI WIPER L300,JAYA ABADI MOTOR,50000,101,1,2.00E-05,0.009803922,0.111111111,0.025173399
TANGKAI WIPER L300,PT. EMPATI SUKSES BERKARYA,35000,113,1,2.86E-05,0.00877193,0.111111111,0.024868087
TANGKAI WIPER PS,PT. EMPATI SUKSES BERKARYA,125000,24,1,8.00E-06,0.04,0.111111111,0.034226222
TENGKORAK GARDAN PS120,PT. EMPATI SUKSES BERKARYA,1200000,108,1,8.33E-07,0.009174312,0.111111111,0.024974932
TENSIONER AC APV,PT. SAMEKARINDO INDAH,455000,106,1,2.20E-06,0.009345794,0.111111111,0.025027059
THERMOSTAT APV (SGP),PT. EMPATI SUKSES BERKARYA,85000,162,1,1.18E-05,0.006134969,0.111111111,0.024068595
THERMOSTAT FREED,76 MOTOR,135000,107,1,7.41E-06,0.009259259,0.111111111,0.025003704
THERMOSTAT FUTURA HKT,JAYA ABADI MOTOR,105000,196,1,9.52E-06,0.005076142,0.111111111,0.023749827
THERMOSTAT GRAND MAX,JAYA ABADI MOTOR,115000,142,2,8.70E-06,0.006993007,0.222222222,0.046546694
THERMOSTAT GRAND MAX,PT. EMPATI SUKSES BERKARYA,75000,9,1,1.33E-05,0.1,0.111111111,0.052228889
THROTEL BODY GRANDMAX,JAYA RAYA MOBIL,1531000,138,1,6.53E-07,0.007194245,0.111111111,0.024380822
TIE ROD AVANZA LAMA,PT. EMPATI SUKSES BERKARYA,225000,77,1,4.44E-06,0.012820513,0.111111111,0.026070598
TIE ROD AVZ/XENIA G1,PT. EMPATI SUKSES BERKARYA,350000,112,2,2.86E-06,0.008849558,0.222222222,0.04710074
TIE ROD END GRAND MAX,PT. EMPATI SUKSES BERKARYA,325000,189,1,3.08E-06,0.005263158,0.111111111,0.023802708
TIE ROD END HILUX REVO (A),PT. EMPATI SUKSES BERKARYA,350000,199,1,2.86E-06,0.005,0.111111111,0.023723651
TIE ROD INNOVA,PT. EMPATI SUKSES BERKARYA,325000,175,1,3.08E-06,0.005681818,0.111111111,0.023928306
TIE ROD TRITON,JAYA ABADI MOTOR,285000,91,1,3.51E-06,0.010869565,0.111111111,0.025484846
TIMING BELT APV,PT. EMPATI SUKSES BERKARYA,190000,165,1,5.26E-06,0.006024096,0.111111111,0.024032083
TIMING BELT APV,PT. SAMEKARINDO INDAH,211000,166,1,4.74E-06,0.005988024,0.111111111,0.024020999
TIMING BELT PANJANG MD-300470 L300 (A),JAYA RAYA MOBIL,729000,59,2,1.37E-06,0.016666667,0.222222222,0.04944513
TIMING BELT PANJANG MD-300470 L300 (A),PT. EMPATI SUKSES BERKARYA,755000,67,1,1.32E-06,0.014705882,0.111111111,0.026634649
TIMING BELT PENDEK 1145A 081 L300 (A),JAYA RAYA MOBIL,405000,59,1,2.47E-06,0.016666667,0.111111111,0.027223457
TIMING BELT PENDEK 1145A 081 L300 (A),PT. EMPATI SUKSES BERKARYA,403000,136,1,2.48E-06,0.00729927,0.111111111,0.024413244
TIMING BELT XENIA 1.0,PT. EMPATI SUKSES BERKARYA,215000,154,1,4.65E-06,0.006451613,0.111111111,0.024160032
TRANSMISI MOUNTING GRAND MAX,PT. EMPATI SUKSES BERKARYA,250000,172,1,4.00E-06,0.005780347,0.111111111,0.023958326
TROMOL HAND REM PS,PT. EMPATI SUKSES BERKARYA,300000,63,1,3.33E-06,0.015625,0.111111111,0.026911389
TUSUK PER,JAYA ABADI MOTOR,15000,3,2,6.67E-05,0.25,0.222222222,0.119477778
TUSUK PER BLKG PS,JAYA ABADI MOTOR,80000,103,1,1.25E-05,0.009615385,0.111111111,0.025113088
TUSUK PER BLKG PS,PT. EMPATI SUKSES BERKARYA,10000,11,1,0.0001,0.083333333,0.111111111,0.047272222
TUTUP FILTER UDARA L300,76 MOTOR,205000,84,1,4.88E-06,0.011764706,0.111111111,0.025754073
TUTUP RADIATOR AVANZA,JAYA ABADI MOTOR,40000,140,1,2.50E-05,0.007092199,0.111111111,0.024362382
TUTUP RADIATOR AVANZA,JAYA RAYA MOBIL,40000,108,1,2.50E-05,0.009174312,0.111111111,0.024987016
TUTUP RADIATOR AVANZA,PT. EMPATI SUKSES BERKARYA,25000,150,1,4.00E-05,0.006622517,0.111111111,0.024228977
TUTUP RADIATOR CARRY,PT. EMPATI SUKSES BERKARYA,40000,162,1,2.50E-05,0.006134969,0.111111111,0.024075213
TUTUP RADIATOR L300,PT. EMPATI SUKSES BERKARYA,45000,10,1,2.22E-05,0.090909091,0.111111111,0.049506061
U-BOLT GRANDMAX,SUMBER BARU MOTOR,90000,129,1,1.11E-05,0.007692308,0.111111111,0.02453547
U-BOLT L300,JAYA ABADI MOTOR,50000,129,1,2.00E-05,0.007692308,0.111111111,0.024539915
U-BOLT PS,JAYA ABADI MOTOR,160000,103,1,6.25E-06,0.009615385,0.111111111,0.025109963
UPPER ARM L300,PT. EMPATI SUKSES BERKARYA,400000,40,3,2.50E-06,0.024390244,0.333333333,0.07398499
V-BELT 4PK 815 APV,PT. EMPATI SUKSES BERKARYA,116000,165,1,8.62E-06,0.006024096,0.111111111,0.024033761
V-BELT 4PK 815 APV,PT. SAMEKARINDO INDAH,65000,103,2,1.54E-05,0.009615385,0.222222222,0.047336752
V-BELT A42,76 MOTOR,55000,136,1,1.82E-05,0.00729927,0.111111111,0.024421094
V-BELT AC XOVER,METRO MOTOR,95000,34,1,1.05E-05,0.028571429,0.111111111,0.030798914
V-BELT P/STERING L300,76 MOTOR,55000,106,2,1.82E-05,0.009345794,0.222222222,0.047257274
VALVE PVC AVANZA,76 MOTOR,60000,155,1,1.67E-05,0.006410256,0.111111111,0.024153632
VALVE PVC AVANZA,PT. EMPATI SUKSES BERKARYA,45000,170,1,2.22E-05,0.005847953,0.111111111,0.023987719
VANBELT 4PK 1050 APV (A),PT. EMPATI SUKSES BERKARYA,90000,165,1,1.11E-05,0.006024096,0.111111111,0.024035007
VANBELT 4PK 1050 APV (A),PT. SAMEKARINDO INDAH,84000,103,2,1.19E-05,0.009615385,0.222222222,0.047335012
W/C BLKG CARRY,PT. EMPATI SUKSES BERKARYA,190000,25,1,5.26E-06,0.038461538,0.111111111,0.033763315
W/C BLKG GRAND MAX,76 MOTOR,280000,150,1,3.57E-06,0.006622517,0.111111111,0.024210763
W/C BLKG GRAND MAX,PT. EMPATI SUKSES BERKARYA,120000,56,3,8.33E-06,0.01754386,0.333333333,0.071933991
W/C BLKG PANTHER,PT. EMPATI SUKSES BERKARYA,250000,37,2,4.00E-06,0.026315789,0.222222222,0.052341181
W/CYLINDER BLKG INNOVA,PT. EMPATI SUKSES BERKARYA,220000,81,1,4.55E-06,0.012195122,0.111111111,0.025883032
W/CYLINDER BLKG LH L300,76 MOTOR,150000,114,1,6.67E-06,0.008695652,0.111111111,0.024834251
W/CYLINDER BLKG LH L300,PT. EMPATI SUKSES BERKARYA,125000,56,2,8.00E-06,0.01754386,0.222222222,0.049711602
W/CYLINDER BLKG PS ENGKEL,METRO MOTOR,200000,24,1,5.00E-06,0.04,0.111111111,0.034224722
W/CYLINDER BLKG RH L300,PT. EMPATI SUKSES BERKARYA,125000,56,2,8.00E-06,0.01754386,0.222222222,0.049711602
W/CYLINDER BLKNG KIRI SWIFT,76 MOTOR,165000,29,1,6.06E-06,0.033333333,0.111111111,0.032225253
W/CYLINDER BLKNG RUSH RH,JAYA ABADI MOTOR,125000,183,1,8.00E-06,0.005434783,0.111111111,0.023856657
W/CYLINDER BLKNG TRAGA LH,PT. EMPATI SUKSES BERKARYA,140000,54,1,7.14E-06,0.018181818,0.111111111,0.027680339
W/CYLINDER DPN PS ENGKEL,PT. EMPATI SUKSES BERKARYA,135000,24,1,7.41E-06,0.04,0.111111111,0.034225926
W/CYLINDER ESCUDO,76 MOTOR,130000,75,1,7.69E-06,0.013157895,0.111111111,0.026173437
W/CYLINDER MIRAGE,PT. EMPATI SUKSES BERKARYA,250000,113,1,4.00E-06,0.00877193,0.111111111,0.024855801
WASHER AIR WIPER KIJANG,76 MOTOR,60000,114,1,1.67E-05,0.008695652,0.111111111,0.024839251
WASHER PINION APV,76 MOTOR,70000,149,1,1.43E-05,0.006666667,0.111111111,0.024229365
WASHER PINION APV,PT. EMPATI SUKSES BERKARYA,30000,149,1,3.33E-05,0.006666667,0.111111111,0.024238889
WASHER PINION PS120,PT. EMPATI SUKSES BERKARYA,60000,108,1,1.67E-05,0.009174312,0.111111111,0.024982849
WASHER SIDE PS120,PT. EMPATI SUKSES BERKARYA,70000,108,1,1.43E-05,0.009174312,0.111111111,0.024981659
WATER PUMP GRAND MAX,PT. EMPATI SUKSES BERKARYA,315000,50,1,3.17E-06,0.019607843,0.111111111,0.028106162
WATER PUMP TARUNA,PT. EMPATI SUKSES BERKARYA,300000,52,1,3.33E-06,0.018867925,0.111111111,0.027884266
WATER PUMP XENIA 1.0,PT. EMPATI SUKSES BERKARYA,330000,154,1,3.03E-06,0.006451613,0.111111111,0.024159221
WHEEL CYLINDER APV,76 MOTOR,130000,147,1,7.69E-06,0.006756757,0.111111111,0.024253095
WHEEL CYLINDER APV,JAYA ABADI MOTOR,115000,65,1,8.70E-06,0.015151515,0.111111111,0.026772025
WIPER 15'',PT. EMPATI SUKSES BERKARYA,35000,24,1,2.86E-05,0.04,0.111111111,0.034236508
"WIPER 16""",76 MOTOR,95000,91,1,1.05E-05,0.010869565,0.111111111,0.025488355
"WIPER 16""",PT. EMPATI SUKSES BERKARYA,40000,24,1,2.50E-05,0.04,0.111111111,0.034234722
"WIPER 24""",76 MOTOR,110000,91,1,9.09E-06,0.010869565,0.111111111,0.025487637
WIPER LINK ASSY L300,76 MOTOR,250000,113,1,4.00E-06,0.00877193,0.111111111,0.024855801
WIPER LINK ASSY L300,PT. EMPATI SUKSES BERKARYA,140000,113,1,7.14E-06,0.00877193,0.111111111,0.024857373
